"transcript","sample_1","sample_2","sample_3","sample_4","sample_5","sample_6","sample_7","sample_8","sample_9","sample_10","sample_11","sample_12","sample_13","sample_14","sample_15","sample_16","sample_17","sample_18","sample_19","sample_20","sample_21","sample_22","sample_23","sample_24","sample_25","sample_26","sample_27","sample_28","sample_29","sample_30","sample_31","sample_32","sample_33","sample_34","sample_35","sample_36","sample_37"
"NM_012090",3,6,7,4,3,1,1,1,3,3,2,3,3,2,4,5,2,2,1,4,2,9,4,6,10,2,1,1,1,3,6,3,1,4,14,5,3
"NM_024057",0,2,1,1,2,1,1,2,1,2,1,1,1,2,1,1,2,2,0,1,1,1,1,1,0,1,1,1,1,3,3,1,1,1,1,2,1
"NM_052985",0,1,1,1,1,0,1,1,1,0,0,1,1,2,1,2,2,1,1,1,0,4,1,2,1,1,0,1,0,1,4,1,1,0,1,1,0
"NM_012096",2,1,2,1,1,1,4,3,2,0,1,1,2,2,3,1,2,2,0,3,1,6,1,3,1,2,1,1,1,1,3,2,3,2,5,4,0
"NM_012097",4,1,2,6,3,2,10,3,5,3,2,6,4,4,7,15,9,6,0,2,1,19,5,9,9,1,3,3,3,2,10,6,6,6,14,9,1
"ENST00000361897.5",8,8,8,27,8,17,31,44,12,6,10,17,22,27,7,16,15,4,9,9,8,8,18,16,12,13,10,16,11,13,19,11,17,12,9,7,5
"NM_012094",1,3,7,1,1,1,2,0,3,1,1,2,4,1,3,3,2,4,2,5,3,8,4,4,3,0,1,4,3,0,2,0,1,5,20,8,1
"NM_001018139",0,1,3,3,1,0,1,3,1,5,1,1,3,4,7,5,7,2,1,4,2,9,3,4,6,0,1,2,4,1,3,2,1,7,24,18,0
"NM_012089",1,1,2,1,1,1,1,1,3,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,2,5,0,1,5,3,1
"NM_024067",0,1,1,1,1,1,2,0,0,0,0,0,1,1,1,1,0,0,1,1,1,4,2,0,1,2,1,0,0,0,0,1,1,1,1,2,0
"NM_024066",2,2,2,1,3,1,1,2,2,4,1,1,1,1,4,2,1,1,1,5,2,3,1,2,1,2,1,1,1,3,5,1,1,2,8,2,1
"NM_024060",67,79,89,105,98,40,45,39,26,53,44,79,141,93,153,257,53,154,72,149,70,700,133,125,69,10,87,48,106,32,206,67,273,144,475,240,28
"NM_024029",2,1,1,0,0,1,2,0,1,1,0,2,2,2,0,0,2,0,0,1,0,1,0,0,1,0,0,1,1,2,1,0,0,1,1,5,0
"NM_000059",1,0,6,3,2,1,1,2,0,2,1,1,4,1,4,3,2,1,2,2,2,5,2,1,3,1,2,0,0,0,4,1,1,2,12,3,4
"ENST00000358232.6",1,1,3,5,1,1,2,1,0,3,1,1,1,2,1,2,2,4,2,4,1,4,1,4,4,2,1,0,2,3,1,3,5,1,8,6,1
"NM_000057",0,0,1,0,1,0,0,0,1,1,0,1,2,1,2,0,1,0,1,1,0,1,0,0,2,0,0,0,1,1,0,2,1,1,1,1,0
"NM_000056",6,7,13,12,5,8,14,4,11,7,9,11,20,15,7,11,16,7,5,3,3,16,11,10,10,2,5,5,15,13,11,18,4,11,15,9,10
"NM_013375",1,0,2,2,0,1,0,0,0,0,0,0,1,1,0,0,2,1,2,1,1,0,1,0,2,1,1,0,0,0,2,0,1,0,4,2,0
"NM_001386",1,35,1,1,1,3,2,1,60,1,22,1,1,18,32,3,1,28,2,2,1,2,1,1,6,25,2,1,22,51,3,40,3,2,2,32,37
"NM_013374",2,2,6,2,2,2,5,1,3,4,1,2,6,4,6,5,5,1,3,4,2,4,0,3,4,0,0,0,3,4,5,4,3,4,8,9,4
"NM_001388",1,1,1,1,0,0,1,0,0,0,0,2,1,1,1,1,3,0,1,0,1,1,1,0,2,0,1,0,0,1,0,1,0,1,6,2,1
"NM_013373",2,0,3,1,1,0,0,0,0,1,0,4,2,1,2,2,0,2,0,0,3,5,0,1,4,1,0,0,1,1,1,1,0,1,7,6,0
"NM_001389",1,0,3,0,2,0,1,1,4,1,1,1,3,5,2,4,5,1,1,1,1,2,1,1,2,1,1,2,0,4,1,2,4,2,9,1,2
"ENST00000308824.6",1,0,2,2,1,1,2,4,0,1,0,3,0,1,1,4,0,2,1,2,1,5,2,3,2,1,2,0,1,0,2,3,4,2,4,1,1
"NM_013367",1,1,4,1,1,1,1,1,2,1,1,1,1,1,1,0,4,1,1,1,1,2,1,2,0,3,1,1,4,3,2,4,2,3,2,6,3
"NM_014698",1,1,2,1,2,1,2,0,1,0,0,1,2,4,1,1,2,2,1,0,3,1,1,1,2,0,1,2,1,2,1,1,1,2,6,1,0
"NM_013366",1,0,1,1,2,1,1,1,1,2,0,0,0,1,1,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,1,0,1,0,2,2,1
"NM_001396",1,2,2,3,2,1,2,1,3,0,1,2,2,1,0,0,1,1,2,1,1,3,2,2,1,0,1,0,1,2,0,3,1,3,3,2,1
"NM_001007471",1,0,1,0,0,1,2,1,0,2,1,0,3,1,1,2,1,1,1,1,1,1,2,2,1,1,1,0,1,1,1,1,0,3,1,2,1
"NM_024031",1,0,0,0,0,0,0,1,1,0,0,0,2,1,2,0,2,2,1,0,2,2,1,2,2,1,0,0,0,0,0,1,0,1,2,0,1
"ENST00000310298.4",1,4,14,3,6,4,7,4,4,6,6,2,7,6,7,8,2,2,2,5,3,9,6,4,3,6,4,1,5,2,8,12,8,4,16,6,5
"NM_000060",1,1,0,1,1,0,1,2,2,0,1,1,1,1,2,1,1,0,1,3,3,0,1,0,0,0,2,1,1,0,2,0,5,2,4,2,0
"ENST00000040738.5",1,1,2,1,1,1,1,1,2,0,1,1,1,1,3,1,1,0,0,1,1,1,1,0,2,0,0,1,0,2,1,2,1,1,4,1,1
"NM_052966",9,2,1,1,2,1,2,1,1,4,1,16,14,4,11,1,1,17,1,2,6,88,1,3,2,10,2,1,2,2,2,1,2,1,5,4,6
"NM_024036",0,0,8,1,2,0,0,1,0,0,0,2,1,2,2,1,1,0,1,0,2,15,2,2,5,1,0,3,0,0,2,0,1,5,14,3,0
"NM_000046",1,0,1,0,1,0,1,1,1,2,1,1,0,2,1,1,2,1,1,1,2,1,1,2,4,0,1,0,0,1,1,1,1,1,6,1,0
"NM_024038",1,4,1,1,0,1,1,1,0,1,1,0,2,1,3,1,2,1,1,1,3,11,1,1,3,0,2,1,3,2,2,1,1,1,11,2,1
"ENST00000431443.2",1,1,0,0,0,1,1,0,0,0,4,2,3,1,0,0,1,0,1,3,0,2,2,2,1,3,0,0,0,0,2,3,2,1,0,1,0
"NM_001376",14,13,2,18,12,2,13,1,1,11,2,9,19,22,27,2,24,1,1,2,2,2,22,1,1,5,9,2,14,9,1,2,1,3,8,2,10
"NM_001378",3,3,4,3,3,1,7,1,5,2,0,8,7,3,7,10,3,4,6,5,3,8,6,8,5,4,2,3,4,7,12,7,1,7,11,7,3
"NM_013361",1,1,4,0,2,1,2,1,0,1,0,0,4,0,0,2,1,2,2,2,1,4,1,2,1,1,1,1,3,1,5,7,0,2,6,5,0
"NM_014691",2,2,4,2,2,1,5,2,2,3,2,3,3,2,2,2,4,2,3,2,2,2,2,3,1,2,3,2,3,4,3,2,2,5,4,3,1
"NM_001018115",2,1,4,3,5,1,1,1,1,1,1,1,2,1,2,4,1,2,0,0,2,5,1,0,1,1,1,1,0,1,2,1,5,4,1,1,1
"NM_001380",9,17,29,20,18,11,28,14,36,20,19,17,31,20,16,27,30,11,14,12,16,38,15,27,29,18,14,7,8,22,26,20,16,20,72,47,10
"NM_001018113",1,1,1,1,0,1,0,1,1,1,0,2,4,3,1,1,0,1,1,0,0,0,0,2,1,1,1,1,1,2,0,1,1,1,3,3,0
"NM_013359",0,1,2,0,0,0,0,0,1,0,2,1,1,1,0,0,2,2,0,0,2,2,0,0,2,1,0,0,1,0,1,1,0,1,2,1,2
"NM_014689",1,2,1,1,2,1,2,1,0,1,1,1,1,1,0,0,1,1,0,1,0,1,0,1,0,1,1,0,1,0,1,1,1,2,1,0,1
"NM_001018112",0,0,1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,0,1,2,0,2,0,0,2,0,0,1,2,0,1,0,1,2,3,1,0
"NM_014688",1,2,7,3,1,0,1,3,2,5,2,1,6,3,4,2,4,1,1,1,3,1,5,2,1,4,1,2,4,1,1,6,2,1,11,2,2
"NM_001382",1,0,1,1,1,1,1,1,1,1,0,2,0,0,1,1,0,2,0,1,3,1,0,0,2,0,0,0,0,1,1,0,1,1,6,3,0
"NM_001018111",0,1,1,0,1,1,1,1,4,2,1,2,0,1,2,0,1,0,3,2,3,1,0,0,1,0,2,1,3,3,1,2,1,1,1,2,1
"NM_014686",0,1,1,1,2,1,2,1,0,1,1,0,1,1,1,1,0,1,1,1,1,2,1,1,1,1,1,1,2,1,1,0,2,2,5,2,0
"NM_013355",0,0,0,1,0,1,1,1,1,1,2,1,0,1,1,2,1,2,1,1,1,3,2,0,1,2,1,0,4,1,2,0,1,1,7,2,1
"NM_014685",1,0,1,1,1,1,0,1,0,2,0,0,0,1,0,0,1,1,0,1,0,1,1,1,0,1,0,1,1,0,2,1,0,1,2,1,0
"NM_013354",1,2,3,1,1,0,1,2,1,1,0,2,1,2,1,3,3,1,1,2,1,10,2,3,1,1,1,1,0,1,1,2,2,2,5,3,3
"ENST00000477593.1",1,1,2,1,2,2,2,2,1,1,1,1,4,2,1,2,1,0,2,1,1,1,1,1,0,1,1,0,1,1,1,1,1,2,2,1,2
"NM_000053",1,1,3,1,1,1,4,1,1,1,0,1,1,1,5,2,1,1,0,2,0,5,1,1,1,1,1,1,0,0,2,4,1,2,4,3,0
"NM_000052",1,0,1,1,1,1,1,1,1,0,1,2,1,1,2,1,1,1,1,3,2,1,1,1,1,1,1,1,1,1,3,1,2,1,2,1,1
"NM_024045",0,1,2,2,1,1,1,1,2,2,2,1,3,1,4,3,2,1,1,1,1,6,1,3,3,1,1,1,2,2,3,4,2,1,3,5,2
"NM_000051",1,1,2,1,1,1,1,1,3,1,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,3,1,1,1,1,1,1,2,2,4,2
"NM_000050",1,1,1,1,1,0,1,1,1,2,1,0,0,1,0,1,1,0,0,0,1,1,1,1,1,1,1,1,1,0,1,0,1,1,1,2,1
"NM_001007467",1,0,1,1,1,1,1,1,0,0,1,2,2,1,1,1,1,0,0,1,0,1,1,0,1,0,1,0,1,1,1,1,1,1,3,0,0
"NM_024040",0,1,0,1,1,0,0,0,1,1,0,4,2,1,2,3,0,3,1,2,1,6,1,1,2,0,1,1,0,0,2,0,3,4,12,1,0
"NM_024007",1,1,1,2,2,3,7,1,1,2,1,1,3,1,1,1,2,2,1,0,3,3,2,1,2,3,1,3,1,5,2,1,2,4,3,2,1
"NM_024006",0,1,4,3,0,2,1,2,2,2,0,0,4,2,0,2,1,2,0,1,2,3,3,2,3,1,3,0,0,0,3,1,0,0,10,3,0
"NM_013397",4,2,11,2,3,3,1,2,2,1,4,0,3,2,3,6,3,1,2,2,2,11,3,4,2,1,0,3,4,5,4,2,4,5,12,9,1
"NM_052950",4,1,1,1,1,1,2,2,2,1,2,0,3,3,2,5,2,2,3,3,1,1,1,1,4,1,2,1,1,2,2,1,1,1,4,1,1
"NM_013396",1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,3,2,1,2,2,2,2,4,1,1,4,4,1
"NM_013393",2,1,1,1,3,0,1,1,3,0,0,1,0,1,0,1,0,2,2,1,1,1,0,0,3,0,2,1,2,0,2,2,0,5,6,3,0
"NM_012062",1,1,3,1,1,1,1,2,2,1,1,0,3,1,4,1,3,2,1,1,2,4,1,1,5,1,2,1,1,1,1,1,3,1,2,1,1
"NM_013392",1,1,2,1,1,2,1,1,1,1,2,1,1,2,1,3,1,4,1,2,1,1,1,1,2,1,1,1,1,1,2,3,2,1,1,1,1
"NM_013390",2,2,1,1,1,1,1,1,1,1,1,2,1,3,5,1,2,1,3,2,3,6,3,4,3,0,2,1,4,4,1,4,2,3,3,2,1
"NR_045196",3829,1,2713,2,2586,4175,8129,3573,1915,1671,3527,7158,11074,2,1,6139,2,4424,1474,7528,1,3,7393,7672,2,1,6327,1,1,4819,8822,9297,5383,1,3,1,1254
"ENST00000436985.2",2,2,3,18,0,0,9,1,2,0,5,4,2,2,4,5,1,3,0,0,0,8,0,5,2,0,4,0,1,1,8,3,10,1,5,2,0
"NM_013388",1,1,7,1,1,1,1,1,0,2,2,0,2,1,1,2,1,1,0,2,2,2,3,0,2,2,1,1,0,2,0,1,1,1,5,1,1
"NM_001008781",1,1,0,2,0,0,0,1,0,0,0,2,0,1,2,5,0,0,1,1,0,2,2,0,1,0,0,0,0,1,1,0,1,1,6,3,0
"NM_024011",2,1,5,3,3,3,1,2,5,1,0,1,6,3,3,1,7,4,2,5,5,9,5,5,9,3,2,1,3,4,2,0,2,7,15,7,4
"NM_000082",0,0,1,1,1,1,3,0,2,3,1,1,1,3,3,1,2,1,0,2,2,2,1,1,2,0,1,1,1,2,1,1,2,5,5,3,1
"NM_000081",1,1,1,1,2,0,5,1,4,3,1,1,1,1,1,4,1,1,1,1,1,7,1,1,1,0,1,1,1,1,1,4,0,1,1,2,0
"NM_052947",3,20,51,25,35,7,1,1,23,19,2,18,1,1,34,44,1,18,33,1,22,2,19,1,1,1,27,7,19,1,39,1,1,58,1,3,24
"NM_052940",0,0,4,1,0,0,0,3,1,0,1,1,0,0,2,0,3,1,2,2,1,7,2,1,2,0,0,1,1,1,2,0,1,3,8,3,0
"NM_013386",1,2,2,1,1,2,3,1,1,1,1,1,1,1,2,1,3,1,1,1,2,1,1,3,1,3,1,2,2,1,1,1,2,1,1,2,0
"ENST00000603233.1",4,8,15,19,10,7,7,9,16,18,5,10,22,9,21,6,13,5,11,6,10,15,8,19,16,2,5,4,12,15,18,18,10,20,33,21,3
"NM_001398",1,2,6,3,3,0,2,2,1,7,2,3,2,8,4,3,5,4,6,6,2,7,1,9,2,0,1,3,1,1,3,1,5,9,29,19,1
"ENST00000464606.1",1,1,2,4,1,0,1,0,0,0,1,0,0,0,2,0,1,2,0,5,3,4,1,1,1,1,4,1,1,0,0,2,1,3,1,0,1
"NM_013382",1,0,1,1,1,1,1,1,0,1,1,0,1,3,2,1,1,1,1,0,2,2,0,1,1,0,0,0,1,1,1,1,1,1,2,1,1
"TCONS_00013744_GAS5",7369,2045,8239,9596,10304,6859,12666,7625,5078,5125,6645,14753,11171,10057,14217,10932,15116,10094,7760,15114,13541,9994,17967,14372,13061,17357,14704,8447,19611,23485,16559,28679,13067,28095,15891,20029,3099
"NM_013379",0,2,7,1,1,1,1,0,1,1,0,0,1,2,3,2,0,2,2,2,4,1,1,1,4,0,1,0,1,1,1,0,1,4,9,2,0
"ENST00000472434.1",1,0,1,3,0,1,1,1,2,0,0,0,4,4,3,2,0,1,0,1,0,8,5,2,1,0,4,2,1,2,0,0,3,6,6,3,1
"NM_013376",0,3,3,3,1,2,0,3,0,2,3,1,1,4,3,4,1,2,0,1,0,4,2,2,1,1,3,0,1,3,3,5,1,0,3,3,1
"NM_000075",0,1,1,3,1,1,1,1,1,1,1,2,3,2,3,2,1,1,3,1,1,2,1,1,2,2,0,1,1,2,3,3,6,4,10,5,1
"ENST00000238918.8",0,1,2,1,2,1,1,2,1,1,0,0,3,1,0,2,5,2,1,1,0,2,2,1,0,0,1,0,3,0,1,1,2,0,3,3,0
"NM_000018",4,1,1,2,4,1,1,2,1,1,3,5,1,7,1,1,1,1,3,5,9,4,1,7,1,1,2,1,3,2,2,4,1,1,3,2,2
"NM_000017",0,1,1,1,2,2,1,0,1,1,0,0,5,0,1,1,1,0,1,0,1,2,1,2,0,0,1,2,1,1,2,2,1,2,3,2,1
"NM_000016",0,0,0,2,0,1,1,2,1,1,0,0,1,1,0,1,1,1,0,0,0,1,1,1,2,1,1,0,2,0,0,1,0,0,4,0,0
"ENST00000480885.1",1,0,5,0,1,1,4,2,1,5,2,1,3,7,2,4,3,4,1,5,1,3,1,5,5,1,2,0,1,3,11,7,0,2,7,2,2
"NM_000014",2,8,2,1,5,6,1,2,1,1,5,4,1,3,2,1,3,4,3,6,3,16,5,7,1,3,4,1,1,1,5,1,20,11,6,4,2
"NM_015990",0,1,1,2,2,0,3,1,4,2,1,2,1,1,1,2,1,1,1,3,2,8,2,4,3,3,0,2,1,1,1,1,2,3,6,2,1
"ENST00000389821.4",1,0,1,1,1,2,0,1,0,0,1,2,3,0,2,2,0,1,1,1,0,1,0,1,1,2,0,1,2,0,1,1,1,2,1,1,0
"NM_002673",1,2,2,9,1,1,1,2,2,4,1,3,2,2,2,4,3,2,1,5,2,10,2,1,4,0,4,0,2,2,5,4,6,3,9,10,2
"NM_014661",4,9,19,19,6,3,10,7,4,5,6,9,9,16,9,1,3,1,14,9,4,1,12,10,10,7,14,10,10,6,11,9,12,13,37,1,2
"NM_001343",8,1,3,13,4,5,5,2,3,5,2,2,3,0,5,8,4,4,2,2,1,7,5,5,3,3,1,0,3,3,7,8,17,5,14,8,3
"NM_013330",1,1,0,1,2,1,1,1,1,2,1,0,1,1,0,3,1,1,1,1,1,2,1,1,1,1,1,1,0,1,1,1,2,1,4,1,0
"NM_014660",2,1,11,1,6,3,6,2,4,6,4,3,6,4,6,5,8,2,2,5,2,10,8,1,5,4,1,4,3,9,2,3,9,6,13,5,9
"NM_001344",0,1,4,4,2,4,5,2,0,2,1,1,3,2,1,2,1,2,1,2,1,4,1,3,4,5,2,0,1,1,2,5,4,5,1,1,2
"NM_001348",1,2,1,5,1,2,5,2,3,1,2,1,1,3,2,8,7,2,1,2,2,4,1,2,4,3,5,5,1,2,5,4,1,8,2,2,8
"NM_000019",2,1,4,2,1,1,2,2,1,1,1,1,1,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,0,1,1,1,1,1,2,1
"NM_001349",3,3,3,1,3,3,1,3,4,4,1,3,7,3,4,3,6,5,1,4,1,5,3,5,2,2,1,4,4,1,5,6,10,2,12,8,1
"NM_013328",1,4,2,1,1,4,1,2,1,1,1,0,1,3,4,3,1,0,1,5,1,3,6,1,1,1,1,4,1,8,2,1,1,1,4,1,2
"NM_013326",1,0,1,1,0,1,2,0,2,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,2,1,2,0,2,1,0,1,3,0,1,1,0
"NM_014657",1,2,1,1,2,1,2,2,1,1,1,2,2,2,1,4,3,2,3,2,2,8,1,2,4,1,1,2,2,6,3,1,1,3,6,2,1
"ENST00000393452.3",4,1,3,1,0,1,4,2,1,1,1,3,4,0,4,4,7,3,1,1,0,5,2,0,1,0,0,1,2,0,2,3,2,1,5,4,2
"NM_014654",0,0,17,1,4,0,2,0,0,6,0,1,1,5,6,4,1,2,0,3,0,5,2,1,10,0,1,0,2,0,5,1,3,8,26,17,2
"NM_013321",1,0,1,1,2,1,1,0,2,1,1,1,1,3,2,1,1,2,1,1,1,2,2,1,1,2,1,1,0,0,1,1,2,1,2,1,1
"NM_014652",0,1,1,1,2,2,2,0,1,1,0,0,1,1,1,1,1,1,1,2,1,2,1,1,3,1,1,1,2,2,1,1,2,2,1,1,0
"NM_000021",1,2,4,1,1,3,3,2,1,2,5,5,2,2,3,2,2,2,1,2,2,5,1,6,2,1,1,5,3,3,8,2,10,4,8,3,3
"NM_015983",0,0,0,1,0,1,1,1,0,0,1,1,1,0,1,1,0,2,0,1,1,4,2,1,1,0,0,0,1,0,1,1,1,1,2,1,0
"NM_000020",1,1,0,1,0,0,0,0,1,0,0,0,0,2,1,0,0,1,1,1,1,1,1,1,0,0,0,1,1,0,0,0,1,1,1,1,0
"NM_015986",1,2,1,1,2,0,1,1,1,2,2,3,2,1,1,1,1,1,1,1,1,1,1,4,1,1,1,0,1,2,2,3,1,1,3,1,1
"NM_052937",11,15,18,14,1,4,1,8,11,1,10,1,1,13,1,15,15,11,9,15,5,2,10,18,20,3,3,6,6,1,2,26,16,18,1,21,8
"NM_013329",1,4,5,5,8,3,5,0,10,2,0,0,14,5,6,1,4,3,8,4,3,6,1,4,10,1,2,2,3,7,4,11,6,8,19,12,10
"ENST00000319914.5",1,1,1,0,1,0,0,0,1,0,0,0,1,1,1,3,0,0,0,0,1,1,1,2,0,0,0,0,1,1,2,2,0,0,3,1,0
"NM_013320",7,3,5,2,7,8,1,1,1,4,1,6,2,6,1,11,13,6,5,1,9,5,7,1,10,1,11,5,9,10,9,3,1,2,1,8,1
"NM_002662",1,2,4,1,4,3,3,1,4,2,1,1,8,1,5,6,4,1,4,1,1,7,4,3,2,2,3,1,3,2,8,8,3,5,7,2,1
"NM_002663",1,0,1,0,4,0,1,1,0,1,0,1,1,3,1,2,0,0,1,0,0,2,1,1,1,0,0,0,0,1,0,0,0,1,0,3,1
"NM_001332",2,3,4,2,3,1,0,1,5,2,0,1,3,4,1,3,1,1,3,2,0,3,1,3,4,5,2,0,3,1,3,1,0,4,4,4,3
"NM_001081491",1,8,1,1,1,9,8,5,2,1,1,2,1,1,1,4,1,3,2,3,12,3,2,2,2,1,3,1,2,1,1,2,2,1,3,2,4
"NM_003995",1,1,3,1,1,1,2,1,0,0,0,0,1,1,4,1,3,2,1,2,1,1,1,2,2,0,1,0,0,2,3,1,1,2,4,2,1
"NM_003998",2,2,2,1,1,1,1,3,3,0,4,3,3,1,2,1,4,4,3,1,1,1,3,2,2,1,1,1,4,4,1,1,1,3,6,1,4
"ENST00000359087.4",1,0,2,1,1,1,1,0,3,2,1,2,3,2,2,4,2,1,1,4,0,4,1,5,1,3,2,0,0,2,4,1,2,2,5,3,1
"NM_001336",0,0,1,0,2,0,1,0,0,1,1,0,0,1,0,2,2,2,1,0,1,1,1,0,1,0,0,0,1,0,0,1,1,1,3,3,1
"NM_002668",0,0,1,1,0,0,2,0,0,1,0,1,1,0,1,1,1,1,0,1,1,5,1,1,5,0,0,1,1,0,0,0,2,2,2,0,0
"NM_001338",0,0,1,1,1,1,1,0,2,1,0,0,3,0,1,1,1,1,1,0,0,1,3,2,1,0,1,3,3,0,0,0,3,3,1,1,0
"NM_014648",0,1,2,2,2,1,3,1,2,2,0,2,6,2,2,2,5,2,1,3,1,9,3,1,2,1,2,2,4,5,3,5,1,3,9,4,6
"NM_014646",4,1,1,1,1,2,1,1,1,1,0,1,1,1,2,5,1,3,1,1,2,5,2,2,2,1,1,0,1,1,4,2,1,2,10,5,1
