,logFC,pvalue,padj
ARPC4,0.085086966,0.002960536,0.005817942
PPTC7,-0.002179433,0.85179992,0.881233106
PELO,0.005151061,0.536441477,0.597240567
SNHG20,-0.024910464,0.078690729,0.11187195
HSP90B1,0.042137679,0.003928212,0.007528196
EEF1E1,0.075801499,0.000310121,0.000732801
SIRT2,0.059228189,7.24E-07,2.77E-06
GPLD1,-0.024210225,0.152855165,0.202779471
RPA1,-0.033529272,0.000619173,0.00137594
AAR2,0.002868515,0.7384974,0.783634763
RHOBTB3,-0.036971826,0.000242269,0.0005835
HDLBP,-0.062862205,5.29E-11,4.16E-10
LRRC59,-0.06890426,6.69E-14,8.71E-13
MAP3K4,-0.018447846,0.025206538,0.039934312
DNM1L,-0.014067688,0.112678585,0.155333037
NECAB3,0.086921946,2.62E-16,5.26E-15
SGTB,0.008401467,0.610087735,0.66705416
FAM120A,-0.014040417,0.167258783,0.21984593
IGBP1,0.098987704,2.16E-10,1.55E-09
CBX1,-0.026507225,6.07E-08,2.88E-07
ATXN7L1,-0.067763613,3.05E-08,1.54E-07
CYB561D2,0.092130978,1.60E-05,4.78E-05
THOC7,0.091320863,5.25E-11,4.14E-10
VAC14,-0.048250094,9.40E-07,3.52E-06
ZNF649,0.000605299,0.962018645,0.971932355
FAHD2B,0.06264099,0.001446968,0.003025864
VPS35,0.048057052,4.71E-09,2.69E-08
CCPG1,0.094767509,9.91E-11,7.43E-10
PRKAR1B,0.039401927,0.029705812,0.046473424
CACNA2D1,0.011706148,0.473151147,0.536330931
TMEM39A,-0.010749091,0.343383159,0.409471928
CCSER2,0.084301109,5.05E-17,1.11E-15
MRVI1,-0.16264077,1.45E-13,1.77E-12
CCDC149,-0.034359444,0.000477452,0.001082657
ANKRD13D,-0.001120079,0.948456079,0.959781501
PLPP7,0.222641534,3.91E-26,2.54E-24
SYNGR1,-0.011793638,0.418363181,0.484216645
NLRP1,-0.060409053,0.000191451,0.000470165
SENP8,-6.93E-05,0.995251081,0.99584859
BMPR1A,0.009589879,0.404065951,0.469625698
TOM1,0.061131451,1.14E-05,3.54E-05
DNAAF3,0.115217795,2.77E-06,9.55E-06
CORIN,-0.020968476,0.166090332,0.218367515
LAMC1,0.01886341,0.267437496,0.330251292
ALKBH8,-0.013043628,0.412760677,0.478285837
BICRAL,-0.045572109,0.001697789,0.003489085
SLC9A7,-0.007232476,0.592296789,0.650018425
RHOBTB2,-0.001204625,0.888405463,0.911559063
FKBP2,0.051974767,0.049328117,0.073143708
MYL7,0.119918678,0.001348653,0.002838074
CAPN10-DT,-0.049623899,0.000380278,0.000881089
CASD1,0.044091893,0.008704542,0.015506257
GOPC,0.011191582,0.275763266,0.338692295
SYNJ2BP,0.009770966,0.263804657,0.326329362
CDO1,0.040598243,0.045322031,0.067786466
SERPINB1,0.052107557,3.07E-05,8.76E-05
NACC2,0.060722067,0.000670538,0.001480217
VEGFB,0.157681011,5.40E-12,5.01E-11
PERP,0.085013265,4.73E-15,7.48E-14
OGFR,0.035820146,0.011662471,0.020086929
STRIP2,0.029448214,0.171138001,0.224178675
EIF3G,0.055919116,0.008371517,0.014954479
SCRN3,-0.013461721,0.43861574,0.504620042
NFATC2,-0.092669694,9.79E-12,8.73E-11
USP4,-0.022897655,0.001496697,0.003118119
URB2,-0.115257171,1.22E-15,2.20E-14
KCNA4,-0.046296254,0.006579181,0.012032153
SHROOM3,-0.040657737,0.000349119,0.000813797
PPP5C,-0.027105207,0.002345232,0.004718777
CROCCP2,-0.043637233,0.099060176,0.138082208
RBM4,-0.032853031,7.39E-05,0.000196423
MAP6,-0.001262011,0.941010769,0.953405035
NDC1,-0.028870906,0.042624844,0.064252102
NME3,0.183771344,2.00E-11,1.68E-10
MMP25,0.06641676,0.00264801,0.005249821
E2F2,-0.116546675,5.62E-15,8.76E-14
AC011498.7,-0.05051511,0.117420507,0.160805954
GUSBP1,0.02157512,0.176190906,0.230254712
TKT,-0.045171049,2.33E-05,6.79E-05
FXYD6,0.039609827,0.003530161,0.006849362
TRNP1,-0.049527462,1.85E-05,5.47E-05
SUCLG2-AS1,0.011217124,0.567849079,0.626478685
DPP10,-0.084452942,0.001243817,0.002638559
DNAAF5,-0.044269621,1.16E-09,7.31E-09
ADAMTS1,-0.069721536,0.000179873,0.000443912
MRPS9,0.013593303,0.246026285,0.307532856
FAM151A,-0.026860253,0.156288835,0.20662194
PGAM1P8,-0.000602395,0.979300783,0.983968664
MED20,-0.019989154,0.019530266,0.031839365
TRDN,0.248249435,1.77E-10,1.29E-09
SIK3,-0.069820333,1.78E-08,9.31E-08
NRG1,-0.202254513,9.00E-14,1.14E-12
TRMT2A,0.028339263,0.036136717,0.055292562
SLC23A2,-0.113645926,1.60E-09,9.86E-09
AC092803.2,0.020993062,0.348606903,0.415008218
HENMT1,0.035633237,0.033546251,0.051752546
TM9SF1,-0.075908512,6.67E-07,2.57E-06
PTBP1,-0.087717292,2.03E-22,9.08E-21
ZGRF1,-0.03161151,0.038058969,0.057946022
ATP6V0A2,-0.054471156,9.00E-11,6.78E-10
SSPN,0.185786974,4.10E-24,2.30E-22
TMX3,0.015395378,0.21968014,0.278781903
PMM1,0.067757949,4.94E-05,0.000135244
CCN1,-0.020601609,0.368216168,0.435243698
POLR3GL,0.108808848,1.75E-06,6.24E-06
IGSF11,0.149291796,1.03E-11,9.18E-11
COP1,0.019215347,0.048927435,0.072614181
FAM129B,-0.009939074,0.337790211,0.40348722
ATP1B2,-0.052704878,2.09E-05,6.15E-05
ZNF710-AS1,0.022680831,0.174033669,0.227733145
PTCH2,0.106513139,9.11E-05,0.000238718
PROSER3,-0.086355939,2.57E-06,8.92E-06
NIPSNAP1,-0.089692073,7.21E-13,7.75E-12
C2CD3,-0.069007179,2.81E-06,9.69E-06
UBE2A,0.050773616,3.49E-11,2.84E-10
C17orf51,-0.055676916,0.00033428,0.000783959
LBH,0.0549289,2.03E-07,8.67E-07
COL6A6,-0.082864986,1.20E-05,3.70E-05
ERCC4,-0.0218957,0.038658441,0.058805052
TAPT1-AS1,0.041220752,0.036308476,0.055534531
AC008393.1,0.050075332,0.005936299,0.010985259
RCOR1,-0.029823724,0.015757325,0.026332429
JPH1,-0.010932623,0.378379822,0.444838728
LINC00672,0.077868951,0.000555971,0.001245454
TXNDC17,0.108823011,1.27E-06,4.64E-06
AC145207.5,0.019946976,0.38138412,0.447844199
LAS1L,-0.079250848,1.53E-15,2.70E-14
ARIH2,-0.032894011,0.007580925,0.013679042
RNF34,-0.027240112,0.000343359,0.000801867
STT3A,-0.016577709,0.038070536,0.057946022
KLHL40,0.266039842,1.34E-18,3.51E-17
OAF,0.111933322,5.39E-10,3.61E-09
MRPS2,0.034419922,0.034246177,0.052680606
TMEM205,0.16129044,3.69E-09,2.15E-08
DAB2IP,-0.05102915,2.15E-05,6.30E-05
ITPRIPL2,-0.084427676,4.55E-05,0.000125608
TRPS1,-0.019765722,0.341905972,0.407807695
NOL4L,-0.083792922,1.64E-17,3.83E-16
LRRC7,0.071407029,4.95E-05,0.000135443
USP34,-0.028627251,0.215502702,0.274176466
SLC25A20,0.03281965,0.000909786,0.001968382
TLE4,0.007008869,0.518408887,0.580265152
PPP1R13B,-0.063697417,1.69E-06,6.04E-06
ZNF670,-0.103496952,4.00E-07,1.61E-06
ZNF263,-0.009499847,0.22493674,0.28454776
HIST1H4H,0.048766563,0.004524484,0.008575596
PAK6,0.038230601,0.008176647,0.014642992
N4BP2,0.002889648,0.844274832,0.875440514
HPCAL1,0.077714945,3.05E-08,1.54E-07
CBX5,-0.064888409,1.03E-14,1.54E-13
TEAD1,0.019853298,0.178567423,0.232691455
VKORC1,0.14945194,1.30E-05,3.98E-05
LSM1,0.03360707,0.004350548,0.008264718
PROCR,-0.028856448,0.204876046,0.262392477
EEF1AKMT3,0.004901197,0.783161189,0.822475519
FAM227A,-0.088986,3.25E-06,1.11E-05
AMPD2,-0.098060989,2.06E-20,7.26E-19
COL5A1,-0.047720076,0.004229487,0.008062309
LINC00667,0.028154793,0.018855597,0.030840034
EMC9,0.080985193,0.000443505,0.001013031
NRCAM,-0.167942698,2.36E-13,2.77E-12
UBE2Q2P1,0.05436891,0.117788476,0.161221566
ADAM15,0.056771715,2.92E-06,1.00E-05
BTN3A3,0.007731384,0.633226162,0.687392708
NUDCD3,-0.043764382,5.67E-07,2.21E-06
AC107294.2,-0.097451523,1.67E-05,5.00E-05
HSD17B8,0.135887471,4.84E-10,3.27E-09
ASPRV1,0.044480146,0.016576908,0.027536392
DDX42,-0.062004488,8.35E-14,1.06E-12
NFS1,0.053691978,7.87E-08,3.63E-07
AC005261.1,-0.029820101,0.044763952,0.067011904
SIPA1L3,-0.092088125,3.00E-13,3.44E-12
RCC1L,0.03562733,0.000243906,0.00058716
PAPSS2,-0.076104051,6.12E-06,2.00E-05
FBXO10,-0.021141965,0.104773887,0.145236883
YIPF6,0.009852746,0.225993507,0.285345337
TSKU,-0.03194757,0.007045915,0.012778228
FAM216A,0.018982142,0.094476707,0.132172226
HSPBAP1,0.018542305,0.121209972,0.165271301
NRBF2,-0.006350557,0.557558386,0.616495341
DNAJC13,-0.009147655,0.519866769,0.581506453
DBNL,-0.00323704,0.750780706,0.79430883
ANKHD1-EIF4EBP3,-0.003828734,0.79426695,0.832564937
RTL8B,0.003645133,0.767031062,0.808933835
MAN1A1,-0.023100429,0.257479806,0.319612471
UBR3,0.077188229,1.54E-06,5.57E-06
AKAP7,0.120412136,1.34E-14,1.95E-13
TMEM9B-AS1,-0.01736546,0.611783905,0.668470176
ZNF862,-0.014280041,0.272892374,0.335826205
ADAMTS10,-0.113289396,3.73E-13,4.21E-12
DDIT3,0.142973913,6.35E-10,4.18E-09
RASSF3,0.065222072,9.44E-10,6.03E-09
H2AFX,-0.009110138,0.610621513,0.667345916
CHRAC1,0.004332239,0.718724555,0.766884928
PBX3,-0.014086986,0.148745031,0.198115384
TAF13,0.027227992,0.008902409,0.01581245
ROBO3,-0.137576987,2.61E-15,4.41E-14
ACTR2,-0.01718608,0.312120582,0.377504332
SRSF2,-0.00429638,0.637395216,0.691018231
SH3GLB1,0.050635138,2.84E-07,1.17E-06
SMG9,-0.026483205,0.082234225,0.116578147
ABI3,0.087102707,1.66E-06,5.95E-06
SPON2,-0.042667222,0.013440716,0.022873922
RARB,0.027864912,0.045580865,0.068071781
ZBTB5,-0.045154477,2.27E-06,7.94E-06
GAS2,0.001089965,0.92265045,0.938797772
SEC23A,-0.045021464,0.004766997,0.008980778
YRDC,-0.025678994,0.019181905,0.031342981
RABGEF1,0.029798673,0.046013926,0.068636524
NISCH,-0.086453873,6.17E-11,4.81E-10
HBS1L,0.03796184,0.007015461,0.012736857
RGS3,0.012717486,0.153970527,0.204042574
EFNA1,0.046612666,0.000199359,0.000488147
PORCN,-0.008019183,0.583670164,0.641818962
MED24,-0.067162025,4.93E-10,3.33E-09
BZW2,0.064617072,2.05E-11,1.72E-10
KCNMB4,0.008850815,0.415947693,0.481643924
SPHK1,-0.038840351,0.060813637,0.088469068
ZNF540,0.145816064,2.95E-13,3.39E-12
ZBTB34,-0.006465965,0.642250901,0.694926316
TBC1D10B,-0.002181611,0.864883335,0.891816183
TRIM13,0.085884555,8.34E-11,6.34E-10
C2orf76,0.101379156,8.79E-10,5.66E-09
RTN4RL1,-0.054585793,0.011597147,0.02000888
LRRC8B,-0.060791819,4.36E-05,0.000121027
CASP8,-0.057000282,5.88E-06,1.93E-05
NXPH2,-0.07914537,8.18E-05,0.000216011
GTF2F1,-0.006335302,0.575624609,0.633668658
SDE2,-0.032348833,0.026885868,0.042379994
PIGV,0.007349009,0.497417307,0.559855386
H6PD,-0.07028532,1.26E-06,4.60E-06
AC084824.1,0.059018891,0.000521891,0.001177552
ZKSCAN2-DT,0.028365105,0.184777438,0.239545235
ZWILCH,-0.05300095,5.56E-05,0.000150779
FLYWCH2,0.107132728,5.72E-06,1.88E-05
LAMTOR5-AS1,-0.016839288,0.279057983,0.341963169
PRELID2,0.003375545,0.833276922,0.866372345
MFN1,0.014344787,0.258314901,0.320410446
RSRC2,-0.005782069,0.47766537,0.540829856
PEX14,0.028046533,0.021937275,0.035257593
NRP2,-0.153957264,1.07E-26,7.31E-25
PRPH2,-0.024128437,0.329221714,0.394844944
ODC1,-0.051915633,3.00E-08,1.52E-07
EFNA2,-0.0612376,0.000111497,0.000287067
ZNF619,-0.03409164,0.013679445,0.023224865
RIC8B,0.032023031,1.42E-05,4.31E-05
ANKLE2,-0.042407128,8.84E-08,4.05E-07
MCUB,0.024312258,0.105105045,0.145615192
AL590867.2,0.114666788,7.43E-07,2.83E-06
EIF4A2,0.015236589,0.199822395,0.256469406
MORC3,0.018649219,0.239883476,0.300681219
MTHFD2,-0.001403118,0.895859895,0.917137484
TMEM155,0.295067716,1.92E-15,3.33E-14
C3orf62,-0.000481762,0.976794097,0.981899977
SERPINB6,0.03976764,0.00258568,0.005136432
PER3,0.203819808,9.72E-30,9.92E-28
MT-ND4L,-0.086868388,9.32E-05,0.000243625
GSKIP,0.014301003,0.30600097,0.371090189
HNRNPH3,-0.0315648,4.35E-06,1.46E-05
TBL1XR1,0.069252263,7.57E-07,2.88E-06
ZNF408,0.019328845,0.214622446,0.273195578
MIR4458HG,0.046314752,0.01724515,0.028447955
TTK,-0.03242388,0.072885841,0.104301433
FBXO42,-0.002227155,0.697784192,0.747732739
TTC19,0.018455536,0.007841916,0.014099094
AFMID,0.07014458,8.04E-09,4.43E-08
EXOSC3,0.035485175,0.00100328,0.00216131
EPCAM,-0.075595568,0.020264524,0.032896955
RPS11,0.150838351,1.46E-08,7.80E-08
NUDT22,0.058166721,9.98E-05,0.000259132
CEBPD,0.222055837,1.88E-20,6.71E-19
AKAP8,-0.053336998,3.87E-11,3.11E-10
NANOS1,-0.075985338,9.68E-07,3.62E-06
VCPIP1,0.069433849,4.77E-05,0.000130954
CPT1A,-0.018739912,0.081930173,0.116213011
PCDH12,0.059783716,4.40E-07,1.76E-06
PYM1,0.045047529,0.0111859,0.0193925
EVI5,-0.011067354,0.229096769,0.288317102
ENOX2,-0.091938738,3.25E-16,6.50E-15
NDUFA8,0.157041729,8.71E-16,1.61E-14
VBP1,0.05015248,0.000164461,0.000408496
LRCH4,-0.124771796,1.12E-10,8.36E-10
PRDX6,0.0243616,0.063281738,0.091659528
CRNKL1,0.036553416,0.002309386,0.004654143
THY1,0.002614872,0.8742099,0.899207879
TTC37,0.018118205,0.238093944,0.29858784
MEG9,-0.160104907,7.34E-14,9.49E-13
APPL2,-0.041012443,7.90E-07,2.99E-06
XAB2,0.040779559,0.009504459,0.016762715
TBX2-AS1,-0.042948437,0.027966535,0.043917297
DANT2,0.067909477,0.020923028,0.033834134
FNIP1,0.051520236,3.62E-05,0.0001023
RFWD3,-0.097825669,1.90E-14,2.71E-13
AC087500.1,-0.022184257,0.224533295,0.284147425
IKBKE,-0.184026915,1.45E-21,5.84E-20
KRT8,-0.01890977,0.275697099,0.338692295
PTGFRN,-0.054230259,9.17E-06,2.91E-05
EDN1,-0.084113334,1.30E-06,4.75E-06
AMPH,0.024172456,0.030000753,0.046876177
ARL4A,-0.001560784,0.893514652,0.915486323
TCOF1,-0.047948502,0.02692829,0.042433485
EIF1B,0.054632001,1.38E-05,4.20E-05
UBA52,0.12356811,1.51E-06,5.47E-06
RELCH,0.032669832,0.013106095,0.022380627
ADAM22,-0.019895331,0.212568964,0.271064733
SHC2,0.094919295,1.34E-05,4.08E-05
EIF3F,0.046083105,0.000124481,0.000316906
TSPAN32,0.034114404,0.134401945,0.181183534
CKAP2L,-0.075053376,1.01E-10,7.56E-10
DHX40,0.005490394,0.642058695,0.694868717
PPT1,-0.02086124,0.016741061,0.027735356
SPATA5L1,0.018483591,0.092423503,0.129735406
SELENOO,0.049613944,0.02178643,0.035060235
C1QL1,0.331912786,2.30E-37,5.00E-35
RDH10,-0.129634808,3.28E-10,2.30E-09
QKI,0.024146632,0.087181753,0.122895057
SPX,0.139017265,1.32E-18,3.48E-17
SOCS6,0.038214381,0.051952562,0.076671431
ATRIP,-0.029680015,0.028259325,0.044304521
PPDPF,0.126514366,8.10E-06,2.60E-05
SSR4P1,0.017884007,0.40268371,0.468236872
ZFAND2B,0.077370918,2.64E-05,7.64E-05
WNT11,-0.102817418,5.17E-12,4.83E-11
MTMR3,0.003615736,0.723906595,0.771262087
DCTN3,0.077916705,1.27E-06,4.65E-06
ZNF225,-0.032606619,0.02183256,0.035123165
FAM120B,-0.023872519,0.043798359,0.06574356
SFRP2,-0.227506038,7.07E-10,4.64E-09
MPHOSPH6,0.012547056,0.349566505,0.416051542
