"chr","start","end"
"chr8",27633004,27633504
"chr7",41961230,41961730
"chr18",72536423,72536923
"chr16",51135970,51136470
"chr6",1609647,1610147
"chr3",15450087,15450587
"chr4",2060995,2061495
"chr5",76615119,76615619
"chr2",205682925,205683425
"chr21",33643054,33643554
"chr6",20401290,20401790
"chr7",105439461,105439961
"chr19",795791,796291
"chr22",21417343,21417843
"chr18",10455230,10455730
"chr16",1151778,1152278
"chr11",35943306,35943806
"chr17",73332376,73332876
"chr8",125430728,125431228
"chr3",184560598,184561098
"chr17",55717831,55718331
"chr16",23834735,23835235
"chr9",71680972,71681472
"chr15",101174400,101174900
"chr8",125430652,125431152
"chr1",167720854,167721354
"chr13",26559038,26559538
"chr11",35946424,35946924
"chr9",78298406,78298906
"chr13",39007029,39007529
"chr6",107064645,107065145
"chr21",45405945,45406445
"chr17",48996003,48996503
"chr6",142300956,142301456
"chr10",71213087,71213587
"chr2",25228477,25228977
"chr9",128456566,128457066
"chr15",65530089,65530589
"chr6",89095528,89096028
"chr6",25281060,25281560
"chr1",89181682,89182182
"chr3",15448588,15449088
"chr3",48156134,48156634
"chr5",147388350,147388850
"chr9",91561800,91562300
"chr11",61753358,61753858
"chr9",114333373,114333873
"chr1",149925835,149926335
"chr8",103150936,103151436
"chr6",117452386,117452886
"chr2",96337693,96338193
"chr9",129886641,129887141
"chr19",16113932,16114432
"chr15",65531529,65532029
"chr9",87499152,87499652
"chr1",157992972,157993472
"chr17",42825300,42825800
"chr17",41813906,41814406
"chrX",9786463,9786963
"chr15",101175946,101176446
"chr11",69640697,69641197
"chr14",70642004,70642504
"chr1",43989738,43990238
"chr1",21596828,21597328
"chr10",13163699,13164199
"chr2",1632480,1632980
"chr21",45492386,45492886
"chr5",168663192,168663692
"chr1",40979230,40979730
"chr12",44505495,44505995
"chr1",21217504,21218004
"chrX",9786130,9786630
"chr16",46689397,46689897
"chr9",87496778,87497278
"chr19",29814892,29815392
"chr1",38991278,38991778
"chr9",128456951,128457451
"chr17",42752236,42752736
"chr3",101828627,101829127
"chr5",34659106,34659606
"chr6",142301813,142302313
"chr1",167722115,167722615
"chr3",186046708,186047208
"chr19",798230,798730
"chr3",196935036,196935536
"chr6",20401623,20402123
"chr5",76615951,76616451
"chr16",28261012,28261512
"chr1",913894,914394
"chr12",65824958,65825458
"chr9",136492548,136493048
"chr17",1519058,1519558
"chr2",218712265,218712765
"chr19",29812101,29812601
"chr13",38686019,38686519
"chr9",129884694,129885194
"chr17",4583972,4584472
"chr16",56731076,56731576
"chr3",48156542,48157042
"chrX",15463949,15464449
"chr19",8062474,8062974
"chr1",38992535,38993035
"chr11",125625141,125625641
"chr6",20402971,20403471
"chr20",32193704,32194204
"chr16",23837480,23837980
"chr21",45404264,45404764
"chr3",109325182,109325682
"chr3",10028460,10028960
"chr13",38688652,38689152
"chr1",206508071,206508571
"chr9",78296216,78296716
"chr9",86024018,86024518
"chr9",113875772,113876272
"chr15",101176919,101177419
"chr15",88621601,88622101
"chr2",68860385,68860885
"chr19",19387996,19388496
"chr3",139935376,139935876
"chrX",15464894,15465394
"chr17",55719644,55720144
"chr16",64941898,64942398
"chr10",71211864,71212364
"chr6",25281402,25281902
"chr9",113877237,113877737
"chr4",1794577,1795077
"chr19",19386523,19387023
"chr16",51137023,51137523
"chr1",206509635,206510135
"chr7",105439226,105439726
"chr10",121479715,121480215
"chr3",15451611,15452111
"chr7",75531433,75531933
"chr1",21596158,21596658
"chr7",150990307,150990807
"chr5",150295127,150295627
"chr4",108045582,108046082
"chr6",43077578,43078078
"chr5",76612600,76613100
"chr17",73334464,73334964
"chr1",89181069,89181569
"chr10",121475539,121476039
"chr12",44505580,44506080
"chr10",123706607,123707107
"chrX",2828498,2828998
"chr2",25225091,25225591
"chr2",218713831,218714331
"chr1",160118233,160118733
"chrX",71257642,71258142
"chr19",19384736,19385236
"chr20",32190350,32190850
"chr21",45490698,45491198
"chr17",55719680,55720180
"chr12",47973670,47974170
"chr17",44925133,44925633
"chr20",62819180,62819680
"chr3",48158187,48158687
"chr17",48997902,48998402
"chr17",48997716,48998216
"chr18",314230,314730
"chr6",47232972,47233472
"chr6",43519834,43520334
"chr17",50107058,50107558
"chr10",22535855,22536355
"chr5",168660662,168661162
"chr10",71211582,71212082
"chr16",23837300,23837800
"chr1",157994724,157995224
"chr3",186044937,186045437
"chr19",16113814,16114314
"chr3",109324163,109324663
"chr12",65823200,65823700
"chr2",11481215,11481715
"chr19",798419,798919
"chr1",167719890,167720390
"chr6",82361760,82362260
"chr5",34655032,34655532
"chr1",43992724,43993224
"chr19",16114700,16115200
"chr7",101363350,101363850
"chr20",32192376,32192876
"chr5",76717238,76717738
"chr11",61753471,61753971
"chr5",168661410,168661910
"chr1",168077127,168077627
"chr3",184563202,184563702
"chr2",205682746,205683246
"chr1",46248729,46249229
"chr15",101175005,101175505
"chr9",136796739,136797239
"chr17",62967255,62967755
"chr11",125164199,125164699
"chr7",41958891,41959391
"chr1",29239239,29239739
"chr11",61753530,61754030
"chr7",69597312,69597812
"chr10",123703898,123704398
"chrX",71254532,71255032
"chr2",11481350,11481850
"chr12",74536455,74536955
"chr12",65826913,65827413
"chr18",10456027,10456527
"chr16",68638589,68639089
"chrX",71256456,71256956
"chr16",1153144,1153644
"chr17",50562214,50562714
"chr17",42753022,42753522
"chr19",36712535,36713035
"chr19",4902794,4903294
"chr3",101827862,101828362
"chr4",1793686,1794186
"chr9",86025362,86025862
"chr3",15448039,15448539
"chr11",119095639,119096139
"chr15",41557780,41558280
"chr5",32688836,32689336
"chr9",131010289,131010789
"chr2",11483126,11483626
"chr3",10028701,10029201
"chr16",46691599,46692099
"chr10",15514575,15515075
"chr9",136494442,136494942
"chr10",123706697,123707197
"chr16",64943160,64943660
"chr9",91561915,91562415
"chr13",38687481,38687981
"chr3",10026371,10026871
"chr20",6766771,6767271
"chr1",46249366,46249866
"chr17",55718369,55718869
"chr5",150296174,150296674
"chr17",1516533,1517033
"chr11",69642192,69642692
"chr3",152836561,152837061
"chr11",125626533,125627033
"chr3",185643505,185644005
"chr9",136798280,136798780
"chr9",136796987,136797487
"chr15",89576638,89577138
"chr19",39415572,39416072
"chr5",32690740,32691240
"chr1",64471728,64472228
"chr11",125166603,125167103
"chr2",96335483,96335983
"chr6",47232808,47233308
"chr3",15450280,15450780
"chr1",89179923,89180423
"chr1",168079872,168080372
"chr3",48156499,48156999
"chr2",205682703,205683203
"chr6",34238713,34239213
"chr15",88621213,88621713
"chr14",70644123,70644623
"chr16",23838310,23838810
"chr1",154155179,154155679
"chrX",132026107,132026607
"chr4",4348482,4348982
"chr17",48999025,48999525
"chr16",87830063,87830563
"chr3",15447932,15448432
"chr6",89097040,89097540
"chr1",40981831,40982331
"chr5",168661585,168662085
"chr5",76612518,76613018
"chr6",82365765,82366265
"chr6",107062369,107062869
"chr1",201482620,201483120
"chr21",31118270,31118770
"chr11",77068960,77069460
"chr9",78297846,78298346
"chr6",2886984,2887484
"chr6",43074807,43075307
"chr16",51136831,51137331
"chr2",68857917,68858417
"chr16",23834499,23834999
"chr10",121478504,121479004
"chr1",201482054,201482554
"chr11",61752938,61753438
"chr6",43079088,43079588
"chr8",125431881,125432381
"chr4",110046927,110047427
"chr6",117454889,117455389
"chr14",70643461,70643961
"chr20",6766800,6767300
"chr6",107062598,107063098
"chr4",1792040,1792540
"chr3",13314025,13314525
"chr22",27849578,27850078
"chr3",101830525,101831025
"chr1",167723254,167723754
"chr7",33904349,33904849
"chr6",43075047,43075547
"chr3",129976121,129976621
"chr1",64471977,64472477
"chr17",73334204,73334704
"chr1",154152907,154153407
"chr8",103152261,103152761
"chr6",2885381,2885881
"chr1",149926402,149926902
"chr1",168077190,168077690
"chr20",6769008,6769508
"chr1",154155524,154156024
"chr1",167720563,167721063
"chr7",105438273,105438773
"chr2",215358011,215358511
"chr9",128456123,128456623
"chr11",77066658,77067158
"chr16",64941526,64942026
"chr1",29235718,29236218
"chr20",2793686,2794186
"chr6",47230221,47230721
"chr6",25281641,25282141
"chr6",1610123,1610623
"chr9",136796835,136797335
"chr17",1517060,1517560
"chr16",87827742,87828242
"chr2",215361247,215361747
"chr6",1610435,1610935
"chr11",69641090,69641590
"chr1",40979309,40979809
"chr17",48996244,48996744
"chr3",13314285,13314785
"chr1",29239194,29239694
"chr1",156719609,156720109
"chr5",150295151,150295651
"chr3",15451594,15452094
"chr15",89577827,89578327
"chr1",157994164,157994664
"chr2",205682595,205683095
"chr5",168659139,168659639
"chr3",129973852,129974352
"chr7",101364327,101364827
"chr5",83638813,83639313
"chr9",114332746,114333246
"chr5",34655280,34655780
"chr18",10454536,10455036
"chr6",107066010,107066510
"chr6",85448635,85449135
"chr6",34239563,34240063
"chr16",1154153,1154653
"chr9",128457843,128458343
"chr9",115019348,115019848
"chr15",66700839,66701339
"chr2",11481837,11482337
"chr7",33905844,33906344
"chr9",136493798,136494298
"chr16",56729055,56729555
"chr3",13316920,13317420
"chr1",40978003,40978503
"chr18",318055,318555
"chr9",136491596,136492096
"chr1",28506125,28506625
"chr9",86026982,86027482
"chr10",22534540,22535040
"chr6",142301696,142302196
"chr7",41961327,41961827
"chr6",1609693,1610193
"chr1",157992786,157993286
"chr5",83635390,83635890
"chr1",149929258,149929758
"chr9",113877183,113877683
"chr15",41559938,41560438
"chr20",32193700,32194200
"chr6",43078764,43079264
"chr6",20400928,20401428
"chr15",66704198,66704698
"chr19",8065887,8066387
"chr9",87499643,87500143
"chr17",62965790,62966290
"chr6",85452558,85453058
"chr16",56729483,56729983
"chr5",122314059,122314559
"chr7",75533698,75534198
"chr6",107062758,107063258
"chr6",34238743,34239243
"chr15",75464303,75464803
"chr3",10029248,10029748
"chr14",69855592,69856092
"chr15",65529401,65529901
"chr9",78299801,78300301
"chr18",44682240,44682740
"chr20",62817629,62818129
"chr2",215361290,215361790
"chr3",196934120,196934620
"chr9",129885121,129885621
"chr18",72537852,72538352
"chr17",42755118,42755618
"chr9",128453917,128454417
"chr9",129885290,129885790
"chr3",129977380,129977880
"chr7",69600565,69601065
"chr14",70643571,70644071
"chr17",50561001,50561501
"chr9",129888347,129888847
"chr16",23836108,23836608
"chr17",44922976,44923476
"chr12",44508003,44508503
"chr3",196936532,196937032
"chr1",29237776,29238276
"chr6",25278010,25278510
"chr5",150295869,150296369
"chr2",1631185,1631685
"chr19",29813757,29814257
"chr2",205681861,205682361
"chr21",45492632,45493132
"chr1",160115700,160116200
"chr1",29237695,29238195
"chrX",2830604,2831104
"chr12",47971651,47972151
"chr5",83636026,83636526
"chr3",186047034,186047534
"chr15",101175880,101176380
"chr1",28506568,28507068
"chr3",101828190,101828690
"chr11",35944758,35945258
"chr4",108046752,108047252
"chr5",147389260,147389760
"chr1",43992647,43993147
"chr20",62818209,62818709
"chr10",119726967,119727467
"chr3",185643627,185644127
"chr1",156720246,156720746
"chr1",89179375,89179875
"chr14",70643598,70644098
"chr13",38688290,38688790
"chr21",45492897,45493397
"chr15",41560026,41560526
"chr17",73332227,73332727
"chr16",1152810,1153310
"chr1",160400164,160400664
"chr10",13161344,13161844
"chr17",79776700,79777200
"chr9",113222198,113222698
"chr7",33906273,33906773
"chr3",15447362,15447862
"chr2",1632181,1632681
"chr2",96337975,96338475
"chr3",133930319,133930819
"chr4",2058195,2058695
"chr20",62816292,62816792
"chr9",91561653,91562153
"chr3",133930813,133931313
"chr17",44924850,44925350
"chr2",11485013,11485513
"chr17",50562792,50563292
"chr6",107063606,107064106
"chr19",36714570,36715070
"chr6",107064536,107065036
"chr4",108044748,108045248
"chr5",150297057,150297557
"chr6",82363640,82364140
"chr10",89428832,89429332
"chr9",113222574,113223074
"chr2",1630759,1631259
"chr5",32688234,32688734
"chr2",215358471,215358971
"chr1",64469314,64469814
"chr1",46249002,46249502
"chr17",50107240,50107740
"chr20",62815174,62815674
"chr16",46688869,46689369
"chr6",85448463,85448963
"chr2",96337826,96338326
"chrX",71254005,71254505
"chr6",25278568,25279068
"chr10",69800721,69801221
"chr6",82363897,82364397
"chr13",39008363,39008863
"chr5",147388009,147388509
"chr2",218713168,218713668
"chr2",1631508,1632008
"chr17",41813495,41813995
"chr3",196936880,196937380
"chr17",62966327,62966827
"chr1",160116393,160116893
"chr12",44508475,44508975
"chr11",69642689,69643189
"chr1",167721984,167722484
"chr22",27851117,27851617
"chr8",103154021,103154521
"chr11",69640543,69641043
"chr2",205683526,205684026
"chr7",69600586,69601086
"chr1",46247876,46248376
"chr16",64941706,64942206
"chrX",9789281,9789781
"chr14",69855056,69855556
"chr7",150991811,150992311
"chr7",69600980,69601480
"chr17",44922622,44923122
"chr17",73332853,73333353
"chr10",100347599,100348099
"chr19",29813725,29814225
"chr19",4902481,4902981
"chr3",10024932,10025432
"chr1",160400174,160400674
"chr4",2060053,2060553
"chr11",35946098,35946598
"chr1",149902290,149902790
"chr21",31119244,31119744
"chr1",53242789,53243289
"chr6",82365856,82366356
"chr1",149901357,149901857
"chrX",132025896,132026396
"chr3",152834906,152835406
"chr2",218712309,218712809
"chr2",205682442,205682942
"chr5",76715844,76716344
"chr3",184563102,184563602
"chr5",122313851,122314351
"chr2",25227620,25228120
"chr9",115018791,115019291
"chr3",48156414,48156914
"chr5",147389884,147390384
"chr16",1155562,1156062
"chr8",27633423,27633923
"chr20",62818811,62819311
"chr15",89576930,89577430
"chr3",15448916,15449416
"chr3",13314363,13314863
"chr12",47972817,47973317
"chr16",51133078,51133578
"chr17",49000148,49000648
"chr19",8065733,8066233
"chr16",23836177,23836677
"chrX",9787791,9788291
"chr16",56731306,56731806
"chr1",21596514,21597014
"chr17",62968211,62968711
"chr6",20403060,20403560
"chr12",47971989,47972489
"chr3",186045890,186046390
"chr17",41811237,41811737
"chr12",47971906,47972406
"chr6",34236528,34237028
"chr7",150989734,150990234
"chr12",47974330,47974830
"chr1",206507677,206508177
"chr18",10457399,10457899
"chr17",50108981,50109481
"chr10",100348310,100348810
"chr11",35943121,35943621
"chr22",21420167,21420667
"chr6",20401978,20402478
"chr10",119728174,119728674
"chr16",28261619,28262119
"chrX",71254370,71254870
"chr9",128454303,128454803
"chr6",47232757,47233257
"chr10",121476790,121477290
"chr3",109324953,109325453
"chr6",107063386,107063886
"chr19",39411753,39412253
"chr16",23838955,23839455
"chr1",149901224,149901724
"chr3",10029249,10029749
"chr3",48156804,48157304
"chr6",25280030,25280530
"chr17",41811806,41812306
"chr11",35946907,35947407
"chr1",53242586,53243086
"chr11",69641910,69642410
"chrX",15463881,15464381
"chr1",64470438,64470938
"chr3",196935305,196935805
"chr17",41815149,41815649
"chr10",69804499,69804999
"chr6",47231289,47231789
"chr1",29235131,29235631
"chr9",113875020,113875520
"chr6",25280828,25281328
"chr16",56728674,56729174
"chr17",50562153,50562653
"chr1",52684810,52685310
"chr8",125431549,125432049
"chr9",113878700,113879200
"chr21",45493141,45493641
"chr10",123703225,123703725
"chr14",76760741,76761241
"chr9",136799005,136799505
"chrX",2827352,2827852
"chr1",43990534,43991034
"chr5",76716452,76716952
"chr3",13316680,13317180
"chr3",185641623,185642123
"chr3",185642716,185643216
"chr16",46689946,46690446
"chr20",62818718,62819218
"chr7",150992367,150992867
"chr6",25281851,25282351
"chr18",313835,314335
"chr10",13161462,13161962
"chr11",125627604,125628104
"chr5",172326399,172326899
"chr6",25279345,25279845
"chr14",24398662,24399162
"chr6",142303624,142304124
"chr10",22535601,22536101
"chr7",2634071,2634571
"chr15",41556586,41557086
"chr2",96337977,96338477
"chr5",76614453,76614953
"chr6",107065935,107066435
"chr6",25278239,25278739
"chr1",21594523,21595023
"chr3",152837561,152838061
"chr17",42825725,42826225
"chr10",22532085,22532585
"chr1",40978337,40978837
"chr4",108045497,108045997
"chr15",65532932,65533432
"chrX",15463357,15463857
"chr15",65533117,65533617
"chr15",89574514,89575014
"chr7",2630865,2631365
"chr3",139934387,139934887
"chr15",88623015,88623515
"chrX",2830455,2830955
"chr17",42753436,42753936
"chr16",23838566,23839066
"chr1",168080211,168080711
"chr16",56729015,56729515
"chr12",74540612,74541112
"chr19",36712566,36713066
"chr1",38993814,38994314
"chr17",50562351,50562851
"chr18",10454807,10455307
"chr20",2792435,2792935
"chr1",167722793,167723293
"chr6",34238802,34239302
"chr12",47972338,47972838
"chr19",8066738,8067238
"chr1",167720526,167721026
"chr1",149927509,149928009
"chr4",20252007,20252507
"chr5",122312271,122312771
"chr1",46246650,46247150
"chrX",2828372,2828872
"chr5",122311778,122312278
"chr9",71681732,71682232
"chrX",2829385,2829885
"chr2",218712649,218713149
"chr10",123703725,123704225
"chr18",72537724,72538224
"chr1",149901418,149901918
"chrX",132025608,132026108
"chr17",8475155,8475655
"chr14",24397621,24398121
"chr15",89574090,89574590
"chr21",45494603,45495103
"chr3",133931691,133932191
"chr11",125625700,125626200
"chr10",119724735,119725235
"chr15",66704692,66705192
"chr6",20403576,20404076
"chr22",21420021,21420521
"chr1",53241526,53242026
"chr1",47215441,47215941
"chr3",13316683,13317183
"chr20",6767996,6768496
"chr2",1633117,1633617
"chr18",44680961,44681461
"chr3",13313940,13314440
"chr2",205684423,205684923
"chr4",4349543,4350043
"chr20",32190924,32191424
"chr17",48997311,48997811
"chr9",86025254,86025754
"chr17",42753648,42754148
"chr22",27850735,27851235
"chr9",87496373,87496873
"chr8",125431573,125432073
"chr9",128458097,128458597
"chr6",117455446,117455946
"chr3",10028292,10028792
"chrX",2830359,2830859
"chr17",62968094,62968594
"chr2",205681617,205682117
"chr9",113223340,113223840
"chr21",43658801,43659301
"chr17",8472689,8473189
"chr17",50108930,50109430
"chr1",89182158,89182658
"chr4",110044683,110045183
"chr7",41959492,41959992
"chr14",24400084,24400584
"chrX",71257266,71257766
"chr14",69855074,69855574
"chr6",2885086,2885586
"chr17",79930546,79931046
"chr5",34656871,34657371
"chr17",73333375,73333875
"chrX",15466712,15467212
"chr21",31119082,31119582
"chr1",29236417,29236917
"chr2",25229235,25229735
"chr5",122313891,122314391
"chr20",32190752,32191252
"chr10",15513626,15514126
"chr13",38689527,38690027
"chr1",149926154,149926654
"chr1",149903896,149904396
