circRNA	1_DEL13080_R1_17to51__circRNA.txt	2_DEL13080_R1_17to51__circRNA.txt	3_DEL13080_R1_17to51__circRNA.txt	4_DEL13080_R1_17to51__circRNA.txt	5_DEL13080_R1_17to51__circRNA.txt	6_DEL13080_R1_17to51__circRNA.txt	7_DEL13080_R1_17to51__circRNA.txt	8_DEL13080_R1_17to51__circRNA.txt	9_DEL13080_R1_17to51__circRNA.txt	10_DEL13080_R1_17to51__circRNA.txt	11_DEL13080_R1_17to51__circRNA.txt	12_DEL13080_R1_17to51__circRNA.txt	13_DEL13080_R1_17to51__circRNA.txt	14_DEL13080_R1_17to51__circRNA.txt	15_DEL13080_R1_17to51__circRNA.txt	16_DEL13080_R1_17to51__circRNA.txt	17_DEL13080_R1_17to51__circRNA.txt	18_DEL13080_R1_17to51__circRNA.txt	19_DEL13080_R1_17to51__circRNA.txt	20_DEL13080_R1_17to51__circRNA.txt	21_DEL13080_R1_17to51__circRNA.txt	22_DEL13080_R1_17to51__circRNA.txt	23_DEL13080_R1_17to51__circRNA.txt	24_DEL13080_R1_17to51__circRNA.txt	25_DEL13080_R1_17to51__circRNA.txt	26_DEL13080_R1_17to51__circRNA.txt	27_DEL13080_R1_17to51__circRNA.txt	28_DEL13080_R1_17to51__circRNA.txt	29_DEL13080_R1_17to51__circRNA.txt	30_DEL13080_R1_17to51__circRNA.txt	31_DEL13080_R1_17to51__circRNA.txt	32_DEL13080_R1_17to51__circRNA.txt	33_DEL13080_R1_17to51__circRNA.txt	34_DEL13080_R1_17to51__circRNA.txt	35_DEL13080_R1_17to51__circRNA.txt	36_DEL13080_R1_17to51__circRNA.txt	37_DEL13080_R1_17to51__circRNA.txt	38_DEL13080_R1_17to51__circRNA.txt	39_DEL13080_R1_17to51__circRNA.txt	40_DEL13080_R1_17to51__circRNA.txt	
NM_024074	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	8.0	0.0	1.0	
NM_000089	6.0	2.0	3.0	7.0	8.0	4.0	1.0	6.0	3.0	3.0	5.0	1.0	6.0	7.0	1.0	5.0	6.0	9.0	2.0	6.0	3.0	2.0	3.0	15.0	7.0	4.0	11.0	5.0	1.0	8.0	3.0	3.0	7.0	18.0	5.0	24.0	3.0	16.0	11.0	2.0	
NM_000088	82.0	76.0	199.0	98.0	91.0	57.0	89.0	125.0	64.0	83.0	122.0	53.0	56.0	92.0	151.0	153.0	184.0	117.0	179.0	122.0	168.0	69.0	192.0	243.0	123.0	93.0	101.0	260.0	45.0	64.0	57.0	124.0	238.0	166.0	98.0	198.0	174.0	615.0	321.0	67.0	
ENST00000499786.4	0.0	3.0	4.0	1.0	0.0	0.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	3.0	1.0	0.0	1.0	1.0	0.0	2.0	2.0	0.0	0.0	0.0	1.0	2.0	1.0	1.0	0.0	2.0	0.0	0.0	0.0	4.0	1.0	1.0	
NM_012074	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	2.0	1.0	3.0	1.0	0.0	1.0	1.0	0.0	2.0	1.0	0.0	0.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	3.0	2.0	0.0	
NM_012072	2.0	4.0	3.0	13.0	6.0	6.0	8.0	1.0	4.0	2.0	1.0	7.0	2.0	4.0	2.0	2.0	2.0	10.0	2.0	6.0	0.0	2.0	1.0	15.0	3.0	2.0	8.0	3.0	2.0	4.0	1.0	1.0	1.0	8.0	2.0	21.0	2.0	2.0	5.0	1.0	
NM_012073	1.0	3.0	3.0	7.0	4.0	1.0	3.0	0.0	2.0	5.0	2.0	0.0	2.0	4.0	1.0	3.0	1.0	3.0	1.0	3.0	1.0	2.0	1.0	11.0	1.0	1.0	1.0	7.0	0.0	5.0	1.0	1.0	2.0	5.0	2.0	6.0	4.0	8.0	5.0	1.0	
NM_012071	0.0	2.0	4.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	2.0	0.0	3.0	0.0	1.0	
NM_001018159	1.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	3.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	2.0	4.0	1.0	1.0	1.0	0.0	1.0	2.0	2.0	1.0	2.0	1.0	1.0	2.0	1.0	
ENST00000456398.1	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	
NM_000090	11.0	15.0	29.0	14.0	12.0	8.0	17.0	23.0	5.0	16.0	19.0	8.0	16.0	20.0	4.0	27.0	20.0	20.0	19.0	14.0	12.0	13.0	11.0	41.0	16.0	7.0	19.0	20.0	3.0	15.0	13.0	20.0	11.0	41.0	18.0	52.0	27.0	130.0	29.0	8.0	
NM_001130912	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	1.0	1.0	0.0	1.0	1.0	0.0	3.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	4.0	1.0	1.0	1.0	4.0	1.0	1.0	2.0	1.0	0.0	1.0	2.0	1.0	2.0	2.0	1.0	0.0	
ENST00000589222.1	1.0	0.0	2.0	1.0	1.0	2.0	2.0	2.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	0.0	
NM_024081	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	
NM_001130913	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	
ENST00000595396.1	0.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_024080	0.0	0.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	14.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	
ENST00000564903.1	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	
ENST00000449862.2	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	2.0	2.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	0.0	1.0	0.0	0.0	0.0	1.0	2.0	1.0	
ENST00000423485.1	1.0	2.0	4.0	10.0	1.0	2.0	1.0	3.0	2.0	3.0	1.0	4.0	1.0	1.0	2.0	2.0	1.0	6.0	2.0	9.0	2.0	1.0	1.0	8.0	2.0	1.0	1.0	3.0	1.0	2.0	0.0	5.0	2.0	1.0	5.0	4.0	6.0	6.0	5.0	1.0	
NM_013398	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
NM_024086	1.0	1.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	4.0	1.0	2.0	1.0	2.0	2.0	3.0	2.0	2.0	3.0	2.0	2.0	1.0	3.0	2.0	1.0	2.0	2.0	3.0	0.0	0.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	9.0	1.0	0.0	
NM_000097	1.0	1.0	6.0	1.0	4.0	1.0	3.0	0.0	4.0	2.0	3.0	0.0	1.0	4.0	0.0	2.0	2.0	4.0	1.0	4.0	5.0	4.0	1.0	12.0	3.0	7.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	1.0	4.0	3.0	5.0	11.0	8.0	0.0	
NM_024089	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	3.0	0.0	0.0	
ENST00000380682.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
NM_000094	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	1.0	1.0	1.0	1.0	2.0	0.0	3.0	1.0	1.0	2.0	1.0	2.0	2.0	0.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0	2.0	3.0	2.0	1.0	4.0	1.0	1.0	
NM_000093	2.0	2.0	2.0	2.0	1.0	1.0	2.0	1.0	4.0	2.0	1.0	2.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	2.0	1.0	1.0	7.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0	1.0	1.0	3.0	1.0	1.0	2.0	4.0	2.0	4.0	
NM_000092	2.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_000091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
NM_024047	0.0	1.0	2.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	2.0	1.0	1.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	
NM_052998	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
NM_052997	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_024046	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_052990	0.0	0.0	2.0	3.0	1.0	0.0	1.0	0.0	2.0	0.0	2.0	0.0	1.0	0.0	0.0	2.0	4.0	0.0	1.0	0.0	0.0	1.0	0.0	2.0	1.0	0.0	0.0	4.0	0.0	0.0	0.0	0.0	1.0	3.0	1.0	2.0	0.0	4.0	2.0	0.0	
NM_001104631	0.0	0.0	1.0	2.0	1.0	0.0	0.0	1.0	1.0	1.0	0.0	0.0	1.0	2.0	6.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	1.0	2.0	0.0	1.0	2.0	0.0	
TCONS_l2_00022101	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	
ENST00000361511.4	0.0	0.0	0.0	0.0	1.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_024053	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	0.0	0.0	0.0	2.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	3.0	2.0	2.0	1.0	
ENST00000341861.5	4.0	1.0	1.0	4.0	2.0	1.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	2.0	1.0	3.0	1.0	1.0	1.0	1.0	2.0	3.0	3.0	1.0	0.0	0.0	0.0	1.0	1.0	2.0	3.0	1.0	2.0	2.0	5.0	1.0	
NM_024050	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	
ENST00000306177.5	1.0	1.0	1.0	3.0	1.0	1.0	1.0	1.0	5.0	0.0	0.0	1.0	0.0	2.0	0.0	2.0	1.0	1.0	1.0	1.0	2.0	0.0	1.0	1.0	0.0	0.0	2.0	2.0	0.0	0.0	2.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	0.0	
NM_012090	3.0	6.0	7.0	4.0	3.0	1.0	1.0	1.0	3.0	3.0	1.0	2.0	3.0	3.0	1.0	2.0	4.0	5.0	2.0	2.0	1.0	4.0	2.0	9.0	4.0	3.0	6.0	10.0	2.0	1.0	1.0	1.0	3.0	6.0	3.0	1.0	4.0	14.0	5.0	3.0	
ENST00000353339.3	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	
NM_012091	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
ENST00000563228.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_052988	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	1.0	1.0	
NM_024057	0.0	2.0	1.0	1.0	2.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	1.0	2.0	1.0	1.0	2.0	2.0	0.0	1.0	1.0	1.0	1.0	2.0	1.0	0.0	1.0	1.0	1.0	1.0	3.0	3.0	1.0	1.0	1.0	1.0	2.0	1.0	
NM_052985	0.0	1.0	1.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	3.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	2.0	1.0	1.0	1.0	0.0	4.0	1.0	0.0	2.0	1.0	1.0	0.0	1.0	0.0	1.0	4.0	1.0	1.0	0.0	1.0	1.0	0.0	
ENST00000521492.1	0.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	2.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0	1.0	1.0	2.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	
ENST00000335953.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
NM_012099	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	1.0	0.0	0.0	1.0	
NM_012096	2.0	1.0	2.0	1.0	1.0	1.0	4.0	3.0	2.0	0.0	1.0	1.0	1.0	2.0	1.0	2.0	3.0	1.0	2.0	2.0	0.0	3.0	1.0	6.0	1.0	2.0	3.0	1.0	2.0	1.0	1.0	1.0	1.0	3.0	2.0	3.0	2.0	5.0	4.0	0.0	
